policy_id,checkpoint_path,objective_0,objective_1,objective_2,objective_3
50,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_050.pt,34.57353591918945,-9.025009155273438,18.341615676879883,-2.137158155441284
51,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_051.pt,14.175015449523926,21.667640686035156,16.626636505126953,24.15622901916504
52,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_052.pt,14.366256713867188,27.517335891723633,20.55322265625,19.600603103637695
53,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_053.pt,34.827308654785156,-13.666092872619629,2.079535722732544,6.877912998199463
54,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_054.pt,10.56284236907959,27.340932846069336,27.860397338867188,10.07691478729248
55,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_055.pt,17.45854949951172,8.776989936828613,42.3643684387207,-2.0167806148529053
56,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_056.pt,20.290132522583008,21.27347183227539,23.418222427368164,18.795564651489258
57,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_057.pt,14.228650093078613,24.284971237182617,29.619592666625977,11.439122200012207
58,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_058.pt,14.0260591506958,19.726587295532227,35.270748138427734,4.685122013092041
59,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_059.pt,34.81686782836914,-14.738109588623047,-1.5290566682815552,8.828495979309082
60,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_060.pt,23.051109313964844,17.913963317871094,23.359527587890625,18.179983139038086
61,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_061.pt,38.50728988647461,-11.53792667388916,12.5198335647583,-0.048577841371297836
62,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_062.pt,26.557525634765625,-2.783245801925659,29.155988693237305,-3.8623034954071045
63,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_063.pt,-0.7300631403923035,3.423628568649292,-15.395255088806152,29.910415649414062
