generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2,best_obj_3,mean_obj_3,std_obj_3
15,1502943.2784000002,64,39.579219818115234,22.721359252929688,7.428028583526611,28.503952026367188,12.543498992919922,10.774398803710938,43.409610748291016,22.0010986328125,9.544071197509766,32.49361801147461,13.265558242797852,9.20269775390625
16,1542995.826415,64,39.579219818115234,22.9713077545166,7.711777687072754,28.503952026367188,12.278352737426758,10.509860038757324,44.46358871459961,22.19896125793457,9.798519134521484,32.49361801147461,13.170356750488281,9.35030460357666
17,1580224.4007899999,64,39.579219818115234,22.994888305664062,7.810965061187744,28.503952026367188,12.495803833007812,10.463833808898926,44.46358871459961,22.6409969329834,9.220000267028809,32.030155181884766,12.902704238891602,9.18115520477295
18,1544070.02344,64,39.579219818115234,23.047636032104492,7.659050941467285,28.503952026367188,12.50566291809082,10.907607078552246,44.46358871459961,22.726806640625,9.142593383789062,32.030155181884766,12.751498222351074,9.35859489440918
19,1569471.93541,64,39.58033752441406,22.880916595458984,7.857422351837158,28.503952026367188,13.313758850097656,10.838506698608398,44.46358871459961,22.453811645507812,8.709917068481445,32.030155181884766,13.473204612731934,8.830663681030273
20,1534206.04825,64,39.58033752441406,23.509296417236328,8.114651679992676,28.503952026367188,12.830466270446777,11.216513633728027,44.46358871459961,21.626943588256836,8.795710563659668,28.390016555786133,13.778350830078125,8.274224281311035
21,1506179.7211,64,39.58033752441406,23.114940643310547,7.895608901977539,28.503952026367188,13.314672470092773,11.070509910583496,44.46358871459961,21.690265655517578,8.584586143493652,28.390016555786133,13.974066734313965,8.351655006408691
22,1556676.29488,64,39.58033752441406,22.932178497314453,8.35181713104248,28.503952026367188,12.854728698730469,11.802952766418457,44.46358871459961,21.883285522460938,9.498678207397461,28.390016555786133,13.261524200439453,8.547295570373535
23,1537094.1445799998,64,39.49113082885742,22.630264282226562,7.93159294128418,28.503952026367188,13.212285995483398,11.504901885986328,44.46358871459961,22.024639129638672,9.795454978942871,28.390016555786133,13.505080223083496,8.293825149536133
24,1523826.53856,64,40.54219055175781,23.045085906982422,7.954634189605713,28.503952026367188,12.074628829956055,11.796849250793457,44.46358871459961,22.269367218017578,10.251240730285645,28.390016555786133,12.695777893066406,8.785651206970215
25,1542553.45125,64,40.54219055175781,22.627620697021484,7.502880096435547,28.503952026367188,13.3195161819458,11.087808609008789,43.41351318359375,22.667312622070312,10.16932201385498,28.390016555786133,13.500356674194336,8.315109252929688
26,1537390.4055,64,40.54219055175781,21.92445182800293,7.284485340118408,28.503952026367188,13.46058177947998,10.921330451965332,43.41351318359375,23.72386932373047,10.30494213104248,28.390016555786133,12.48647689819336,8.641730308532715
27,1532496.34125,64,40.54219055175781,22.18222427368164,7.215547561645508,28.503952026367188,13.100420951843262,10.84488582611084,43.41351318359375,23.27239990234375,10.478729248046875,28.390016555786133,12.830883979797363,9.07991886138916
28,1533220.656465,64,39.67936325073242,22.831924438476562,6.864648342132568,31.95890998840332,12.396451950073242,11.318357467651367,43.41351318359375,23.532947540283203,10.12718391418457,28.390016555786133,12.272916793823242,9.050168991088867
29,1527275.211805,64,39.67936325073242,22.913917541503906,7.33595085144043,31.95890998840332,12.511639595031738,11.541169166564941,43.41351318359375,23.052749633789062,9.871466636657715,28.390016555786133,12.533649444580078,8.917669296264648
30,1516556.9793,64,40.27070999145508,22.874662399291992,7.676104545593262,31.95890998840332,13.353935241699219,11.620071411132812,41.57020950317383,22.319042205810547,9.245089530944824,28.390016555786133,13.57229232788086,8.49300479888916
31,1515865.7150400002,64,40.27070999145508,23.691120147705078,8.08994197845459,31.95890998840332,11.127132415771484,11.750749588012695,41.57020950317383,21.87278175354004,9.971412658691406,28.390016555786133,12.48997974395752,9.119905471801758
32,1491862.104215,64,40.27070999145508,23.16744613647461,8.325616836547852,31.95890998840332,10.99967098236084,12.147034645080566,43.38973617553711,22.351543426513672,10.590932846069336,28.390016555786133,11.652925491333008,9.406092643737793
33,1545441.44122,64,40.27070999145508,23.244382858276367,8.306258201599121,31.95890998840332,11.855056762695312,12.190983772277832,43.38973617553711,21.877281188964844,10.193918228149414,28.390016555786133,12.748825073242188,9.145780563354492
