generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2
37,21590535.4164,48,1235.3939208984375,1030.88037109375,65.16653442382812,1222.7784423828125,1045.57421875,57.008262634277344,995.36328125,922.8997802734375,106.8080825805664
38,21362882.5392,49,1235.3939208984375,1029.655517578125,63.67665481567383,1222.7784423828125,1045.7589111328125,55.96734619140625,995.36328125,926.779296875,105.77186584472656
39,22664549.3388,44,1235.3939208984375,1034.524658203125,62.29269027709961,1222.7784423828125,1047.084228515625,57.2477912902832,995.36328125,931.172119140625,103.8116226196289
40,22641546.086400002,38,1235.3939208984375,1035.99755859375,62.4615478515625,1222.7784423828125,1046.4453125,58.42999267578125,995.36328125,927.5309448242188,104.99173736572266
41,22884270.06,42,1235.3939208984375,1038.0479736328125,61.20765686035156,1246.6033935546875,1050.0836181640625,59.56128692626953,995.36328125,921.3316650390625,125.14537811279297
42,22678827.2196,43,1235.3939208984375,1037.8814697265625,61.4501838684082,1246.6033935546875,1049.59033203125,59.90205764770508,995.36328125,920.339599609375,125.25439453125
43,23441107.4112,46,1235.3939208984375,1041.7978515625,63.70628356933594,1246.6033935546875,1050.1204833984375,61.47883605957031,995.36328125,922.5975341796875,111.37946319580078
44,23286430.3692,44,1235.3939208984375,1043.0050048828125,63.55398178100586,1246.6033935546875,1050.4375,60.14645767211914,995.36328125,926.8108520507812,110.52787780761719
45,23615614.8432,45,1235.3939208984375,1043.997802734375,63.041908264160156,1246.6033935546875,1051.37841796875,60.85630416870117,995.36328125,925.1886596679688,113.07000732421875
46,23592611.590800002,50,1235.3939208984375,1047.6456298828125,66.96072387695312,1246.6033935546875,1053.324951171875,60.37224578857422,995.36328125,917.5123291015625,119.22604370117188
47,23506151.0904,51,1235.3939208984375,1049.20361328125,66.13530731201172,1246.6033935546875,1050.95703125,60.10894012451172,995.36328125,916.5166015625,119.90180206298828
48,39051213.3336,51,1235.3939208984375,1052.04296875,69.17008972167969,1419.0963134765625,1058.453125,75.28819274902344,995.36328125,920.8378295898438,103.53599548339844
49,39041950.08408,53,1235.3939208984375,1049.740234375,69.26850891113281,1419.0963134765625,1053.4124755859375,75.66942596435547,995.36328125,927.86572265625,100.59333038330078
