generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2
44,529485344.0,1,986.7338256835938,364.66888427734375,118.69024658203125,553.9430541992188,164.88552856445312,107.52546691894531,955.7841796875,318.41033935546875,122.68196868896484
45,529688704.0,2,986.7338256835938,387.7171630859375,140.1775360107422,554.151123046875,181.53367614746094,112.79154205322266,955.8068237304688,338.9839782714844,143.31787109375
46,529688704.0,2,986.7338256835938,389.0868835449219,139.27296447753906,554.151123046875,181.96109008789062,112.69104766845703,955.8068237304688,340.3025207519531,142.54205322265625
47,529688704.0,2,986.7338256835938,394.1099853515625,136.6173858642578,554.151123046875,184.1863250732422,112.56729125976562,955.8068237304688,343.35845947265625,141.791259765625
48,529688704.0,2,986.7338256835938,397.45086669921875,134.7916717529297,554.151123046875,186.05795288085938,112.46863555908203,955.8068237304688,346.3353271484375,141.2721710205078
49,529688704.0,2,986.7338256835938,414.3797302246094,147.5843963623047,554.151123046875,200.88442993164062,114.92567443847656,955.8068237304688,363.2774658203125,153.13519287109375
50,551903949.57824,3,1012.8502807617188,428.00689697265625,164.0075225830078,566.761962890625,211.5414581298828,121.75260925292969,955.8068237304688,376.5671081542969,160.88369750976562
51,575653145.21088,2,1012.8502807617188,439.1258544921875,177.86550903320312,577.6788940429688,226.03985595703125,118.02999114990234,974.27880859375,389.87603759765625,174.62469482421875
52,575503097.27232,2,1012.8502807617188,461.96148681640625,187.55079650878906,577.6788940429688,237.98812866210938,122.7706527709961,974.27880859375,407.90234375,180.64913940429688
53,575907072.49152,2,1012.8502807617188,468.428466796875,186.0033721923828,577.6788940429688,241.67967224121094,122.27835845947266,974.27880859375,413.4609375,180.2635955810547
54,576230252.66688,3,1012.8502807617188,491.9056091308594,195.21078491210938,577.6788940429688,257.1849060058594,126.6317138671875,974.27880859375,437.1965637207031,187.7166290283203
55,576149457.62304,3,1012.8502807617188,511.24176025390625,190.06141662597656,577.6788940429688,272.4888000488281,119.68769073486328,974.27880859375,454.12237548828125,185.63172912597656
56,576045578.2809601,3,1012.8502807617188,514.1194458007812,188.73281860351562,577.6788940429688,274.2174072265625,118.88462829589844,974.27880859375,456.2416076660156,184.9565887451172
57,576137915.47392,4,1012.8502807617188,549.5787963867188,198.2070770263672,577.6788940429688,297.2488098144531,117.6233139038086,974.27880859375,493.79718017578125,192.16978454589844
